"time","count","year"
20101103,7,2010
20101104,8,2010
20101105,7,2010
20101106,5,2010
20101107,6,2010
20101108,10,2010
20101109,8,2010
20101110,2,2010
20101111,7,2010
20101112,11,2010
20101113,8,2010
20101114,6,2010
20101115,11,2010
20101116,7,2010
20101117,8,2010
20101118,7,2010
20101119,5,2010
20101120,10,2010
20101121,4,2010
20101122,8,2010
20101123,7,2010
20101124,3,2010
20101125,7,2010
20101126,7,2010
20101127,4,2010
20101128,8,2010
20101129,3,2010
20101130,5,2010
20101201,34,2010
20101202,2,2010
20101203,4,2010
20101204,5,2010
20101205,5,2010
20101206,5,2010
20101207,8,2010
20101208,8,2010
20101209,11,2010
20101210,10,2010
20101211,7,2010
20101212,4,2010
20101213,5,2010
20101214,14,2010
20101215,11,2010
20101216,5,2010
20101217,5,2010
20101218,13,2010
20101219,5,2010
20101220,12,2010
20101221,9,2010
20101222,10,2010
20101223,7,2010
20101224,7,2010
20101225,14,2010
20101226,5,2010
20101227,9,2010
20101228,7,2010
20101229,5,2010
20101230,6,2010
20101231,3,2010
20110101,109,2011
20110102,7,2011
20110103,8,2011
20110104,17,2011
20110105,12,2011
20110106,5,2011
20110107,9,2011
20110108,6,2011
20110109,5,2011
20110110,9,2011
20110111,10,2011
20110112,8,2011
20110113,6,2011
20110114,11,2011
20110115,6,2011
20110116,12,2011
20110117,8,2011
20110118,8,2011
20110119,7,2011
20110120,10,2011
20110121,8,2011
20110122,8,2011
20110123,9,2011
20110124,8,2011
20110125,5,2011
20110126,11,2011
20110127,7,2011
20110128,8,2011
20110129,5,2011
20110130,9,2011
20110131,11,2011
20110201,34,2011
20110202,13,2011
20110203,6,2011
20110204,4,2011
20110205,5,2011
20110206,6,2011
20110207,9,2011
20110208,11,2011
20110209,6,2011
20110210,11,2011
20110211,9,2011
20110212,4,2011
20110213,6,2011
20110214,15,2011
20110215,8,2011
20110216,6,2011
20110217,6,2011
20110218,7,2011
20110219,2,2011
20110220,4,2011
20110221,11,2011
20110222,14,2011
20110223,10,2011
20110224,9,2011
20110225,11,2011
20110226,2,2011
20110227,11,2011
20110228,16,2011
20110301,24,2011
20110302,7,2011
20110303,9,2011
20110304,12,2011
20110305,11,2011
20110306,10,2011
20110307,14,2011
20110308,15,2011
20110309,4,2011
20110310,12,2011
20110311,4,2011
20110312,2,2011
20110313,4,2011
20110314,8,2011
20110315,9,2011
20110316,1,2011
20110317,4,2011
20110318,7,2011
20110319,7,2011
20110320,7,2011
20110321,7,2011
20110322,9,2011
20110323,6,2011
20110324,3,2011
