"Year","Month","State","Illnesses","setting_new","Etiology_new"
2009,9,"California",7,"grocery","Salmonella"
2010,1,"California",4,"restaurant","Norovirus"
2010,3,"Wisconsin",27,"restaurant","Norovirus"
2010,3,"Pennsylvania",5,"restaurant","Norovirus"
2010,3,"Illinois",2,"other","Campylobacter"
2010,3,"Illinois",19,"restaurant","Norovirus"
2010,4,"Illinois",12,"private residence","Salmonella"
2010,1,"Pennsylvania",11,"private residence","Other"
2010,3,"Florida",25,"restaurant","Norovirus"
2010,2,"Florida",27,"caterer","Norovirus"
2010,4,"New York",48,"restaurant","Norovirus"
2010,3,"Florida",4,"restaurant","Other"
2010,3,"Florida",3,"restaurant","Other"
2010,1,"New York",45,"office","Norovirus"
2010,4,"New Jersey",11,"restaurant","Norovirus"
2010,4,"Oregon",12,"private residence","Norovirus"
2010,3,"Florida",3,"grocery","Other"
2010,2,"Florida",2,"restaurant","Other"
2010,1,"Florida",11,"restaurant","Norovirus"
2010,2,"Florida",31,"restaurant","Norovirus"
2010,2,"Pennsylvania",22,"other","Campylobacter"
2010,2,"Tennessee",10,"restaurant","Norovirus"
2009,8,"Florida",7,"private residence","Salmonella"
2010,4,"Illinois",7,"restaurant","Norovirus"
2010,4,"Connecticut",34,"caterer","Norovirus"
2010,3,"Connecticut",10,"restaurant","Salmonella"
2010,3,"Maryland",5,"restaurant","Norovirus"
2010,2,"Washington",6,"other","Escherichia"
2010,4,"New York",32,"prison","Other"
2010,2,"California",50,"restaurant","Salmonella"
2010,4,"Minnesota",4,"restaurant","Norovirus"
2010,4,"Minnesota",12,"restaurant","Norovirus"
2010,4,"Minnesota",7,"restaurant","Norovirus"
2010,4,"Minnesota",38,"restaurant","Norovirus"
2010,1,"New Jersey",36,"caterer","Norovirus"
2010,5,"Ohio",9,"restaurant","Norovirus"
2010,4,"Oregon",14,"caterer","Norovirus"
2010,3,"New York",4,"restaurant","Other"
2010,4,"Oregon",36,"restaurant","Norovirus"
2010,3,"Pennsylvania",4,"restaurant","Norovirus"
2010,4,"Florida",3,"other","Other"
2010,5,"Kansas",5,"restaurant","Norovirus"
2009,12,"California",8,"restaurant","Norovirus"
2010,4,"California",11,"restaurant","Norovirus"
2010,5,"Virginia",4,"restaurant","Norovirus"
2010,3,"Minnesota",2,"other","Salmonella"
2010,5,"Illinois",5,"restaurant","Norovirus"
2010,5,"Illinois",9,"restaurant","Norovirus"
2010,5,"Minnesota",24,"restaurant","Other"
2009,7,"Wyoming",2,"private residence","Escherichia"
2009,9,"Wyoming",22,"other","Norovirus"
2009,12,"Wyoming",25,"other","Other"
2010,4,"South Carolina",7,"restaurant","Other"
2010,5,"Missouri",23,"restaurant","Norovirus"
2010,3,"Florida",12,"caterer","Norovirus"
2010,5,"Florida",2,"restaurant","Other"
2010,5,"Oregon",21,"restaurant","Norovirus"
2010,5,"Ohio",3,"restaurant","Salmonella"
2009,5,"Idaho",10,"restaurant","Norovirus"
2009,9,"Idaho",4,"restaurant","Norovirus"
2010,5,"Pennsylvania",37,"restaurant","Salmonella"
2010,5,"Minnesota",8,"restaurant","Norovirus"
2010,5,"Minnesota",24,"restaurant","Norovirus"
2010,5,"Minnesota",8,"other","Escherichia"
2010,3,"Ohio",2,"restaurant","Norovirus"
2010,5,"Connecticut",13,"restaurant","Salmonella"
2009,1,"Ohio",6,"restaurant","Norovirus"
2010,4,"California",9,"prison","Other"
2010,5,"Minnesota",13,"private residence","Norovirus"
2010,5,"Pennsylvania",4,"restaurant","Campylobacter"
2009,5,"California",23,"caterer","Norovirus"
2010,2,"California",8,"restaurant","Norovirus"
2010,1,"California",6,"restaurant","Norovirus"
2010,5,"California",5,"restaurant","Other"
2010,5,"California",6,"restaurant","Norovirus"
2010,6,"Florida",6,"restaurant","Norovirus"
2010,3,"California",25,"caterer","Norovirus"
2010,5,"Minnesota",3,"restaurant","Salmonella"
2010,5,"California",9,"restaurant","Norovirus"
2010,5,"California",43,"caterer","Other"
2010,6,"Minnesota",4,"other","Norovirus"
2010,6,"Minnesota",28,"caterer","Norovirus"
2009,3,"Colorado",43,"private residence","Salmonella"
2010,6,"Minnesota",8,"restaurant","Norovirus"
2010,4,"Florida",37,"private residence","Salmonella"
2010,6,"New York",9,"restaurant","Salmonella"
2010,6,"Connecticut",5,"restaurant","Norovirus"
2010,4,"California",2,"other","Other"
2010,6,"Illinois",32,"restaurant","Norovirus"
2010,6,"Minnesota",4,"restaurant","Norovirus"
2010,6,"Minnesota",7,"private residence","Salmonella"
2010,3,"Wisconsin",5,"restaurant","Salmonella"
2010,5,"Wisconsin",11,"restaurant","Norovirus"
2010,5,"Pennsylvania",10,"restaurant","Campylobacter"
2010,6,"Illinois",10,"restaurant","Norovirus"
2010,6,"Pennsylvania",6,"private residence","Other"
2010,1,"Arizona",15,"private residence","Campylobacter"
2010,1,"California",19,"caterer","Escherichia"
2010,4,"Rhode Island",27,"restaurant","Norovirus"
2010,6,"Connecticut",20,"restaurant","Norovirus"
2010,6,"New York",3,"other","Escherichia"
2010,4,"New Hampshire",3,"restaurant","Salmonella"
2010,6,"Minnesota",15,"caterer","Norovirus"
2010,6,"Minnesota",2,"restaurant","Other"
2009,9,"California",3,"other","Escherichia"
2010,4,"Florida",13,"private residence","Norovirus"
2010,5,"Massachusetts",2,"other","Campylobacter"
2009,12,"California",7,"other","Salmonella"
2010,6,"California",44,"restaurant","Other"
2010,5,"California",5,"restaurant","Norovirus"
2009,12,"California",34,"restaurant","Norovirus"
2009,11,"California",4,"restaurant","Salmonella"
2010,6,"Minnesota",7,"restaurant","Salmonella"
2010,6,"Georgia",5,"caterer","Other"
2010,5,"Wisconsin",9,"caterer","Other"
2010,5,"Kansas",4,"restaurant","Norovirus"
2010,7,"Minnesota",11,"other","Escherichia"
2010,6,"Pennsylvania",6,"restaurant","Other"
2010,7,"New York",15,"restaurant","Salmonella"
2010,7,"Illinois",16,"caterer","Norovirus"
2010,6,"Florida",2,"restaurant","Other"
2010,1,"Michigan",4,"other","Salmonella"
2010,3,"Hawaii",40,"restaurant","Norovirus"
2010,5,"Michigan",36,"caterer","Norovirus"
2010,7,"Pennsylvania",21,"other","Salmonella"
2010,7,"Wisconsin",45,"caterer","Norovirus"
2010,5,"Virginia",5,"restaurant","Other"
2010,4,"Virginia",23,"private residence","Norovirus"
2010,7,"Wisconsin",9,"private residence","Salmonella"
2010,6,"Georgia",13,"office","Other"
2010,3,"Arizona",40,"caterer","Norovirus"
2010,7,"Florida",6,"grocery","Other"
2010,6,"Colorado",12,"caterer","Norovirus"
2010,7,"California",10,"restaurant","Norovirus"
2010,7,"Oregon",6,"other","Other"
2010,7,"Wisconsin",21,"restaurant","Norovirus"
2010,7,"Maryland",21,"restaurant","Norovirus"
2010,4,"Idaho",7,"restaurant","Norovirus"
2009,8,"North Dakota",13,"restaurant","Norovirus"
2009,12,"North Dakota",3,"restaurant","Norovirus"
2010,6,"California",6,"caterer","Norovirus"
2010,3,"Hawaii",7,"restaurant","Escherichia"
2010,7,"Florida",3,"restaurant","Other"
2010,6,"Missouri",25,"restaurant","Salmonella"
2010,7,"Wisconsin",16,"private residence","Norovirus"
2010,6,"Georgia",14,"restaurant","Other"
2010,6,"California",4,"restaurant","Other"
2010,7,"Oklahoma",14,"restaurant","Norovirus"
2010,8,"New York",6,"private residence","Other"
2010,6,"Michigan",11,"private residence","Other"
2010,5,"Michigan",11,"other","Campylobacter"
2010,5,"Michigan",5,"private residence","Campylobacter"
2010,6,"California",3,"restaurant","Norovirus"
2010,6,"California",11,"restaurant","Norovirus"
2010,7,"Minnesota",6,"restaurant","Salmonella"
2010,8,"Minnesota",21,"private residence","Salmonella"
2010,8,"Minnesota",16,"restaurant","Norovirus"
2010,6,"Pennsylvania",3,"restaurant","Other"
2010,3,"California",9,"caterer","Norovirus"
2010,7,"California",9,"private residence","Salmonella"
2010,4,"California",8,"restaurant","Norovirus"
2010,7,"Michigan",17,"private residence","Salmonella"
2010,7,"Tennessee",22,"restaurant","Other"
2010,7,"Connecticut",17,"other","Salmonella"
2010,8,"Mississippi",28,"restaurant","Salmonella"
2010,8,"Ohio",6,"restaurant","Norovirus"
2010,7,"Illinois",6,"grocery","Salmonella"
2010,8,"New York",2,"restaurant","Other"
2010,7,"Washington",5,"restaurant","Other"
2010,8,"Kansas",28,"private residence","Other"
2010,3,"California",22,"restaurant","Salmonella"
2010,5,"Wisconsin",10,"private residence","Other"
2010,8,"California",32,"restaurant","Salmonella"
2010,8,"Illinois",7,"other","Norovirus"
2010,8,"Illinois",4,"restaurant","Salmonella"
2010,7,"Colorado",29,"restaurant","Salmonella"
2010,8,"Illinois",28,"private residence","Salmonella"
2010,4,"Colorado",27,"private residence","Norovirus"
2010,1,"Colorado",10,"caterer","Norovirus"
2010,6,"Oregon",4,"other","Escherichia"
2010,8,"Oregon",33,"caterer","Norovirus"
2010,8,"Oregon",26,"restaurant","Norovirus"
2010,8,"Minnesota",3,"private residence","Campylobacter"
